**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	11	1	0	1	64	0	0	0	0	1	0	0	0	0	0	-1	60	1
18	3	3	10	3	0	0.5	60	0	0	0	0	0	1	0	0	0	0	-1	0	0
18	4	4	9	4	0	0.5	60	0	0	0	0	0	1	0	0	0	0	-1	0	0
18	5	5	8	5	0	0.75	79	0	0	0	0	0	0	0	0	0	0	-1	72	0.75
18	7	7	7	7	0	0.5	72	0	0	0	0	0	1	0	0	0	0	-1	0	0
18	9	9	6	9	0	1	79	0	0	0	0	0	0	0	0	0	0	-1	76	1
18	11	11	5	11	0	3	38	0	0	0	0	0	0	0	0	0	0	-1	0	0
18	12	12	4	12	0	1	69	0	0	0	0	1	0	0	0	0	0	-1	65	1
18	14	14	3	14	0	1	72	0	0	0	0	1	0	0	0	0	0	-1	69	1
18	16	16	2	16	0	4	38	0	0	0	0	0	0	0	0	0	0	-1	0	0
18	18	18	1	18	0	4	46	0	0	0	0	0	0	0	0	0	0	-1	0	0
20	5	5	8	5	0.75	0.25	72	0	0	0	0	0	0	0	1	0	79	0	76	1
21	1	1	11	1	1	1	60	0	0	0	0	1	0	0	0	0	64	0	57	2
21	5	5	8	5	1	0.75	76	0	0	0	0	0	0	0	0	0	72	0.75	69	1.75
21	9	9	6	9	1	0.5	76	0	0	0	0	0	0	0	0	0	79	0	68	1.5
21	12	12	4	12	1	1	65	0	0	0	0	1	0	0	0	0	69	0	62	2
21	14	14	3	14	1	1	69	0	0	0	0	1	0	0	0	0	72	0	65	2
22	9	9	6	9	1.5	0.5	68	0	0	0	0	0	0	0	0	0	76	1	71	2
23	5	5	8	5	1.75	0.25	69	0	0	0	0	0	0	0	1	0	76	1	72	2
24	1	1	11	1	2	1	57	0	0	0	0	1	0	0	0	0	60	1	50	3
24	5	5	8	5	2	0.75	72	0	0	0	0	0	0	0	0	1	69	1.75	65	2.75
24	9	9	6	9	2	0.5	71	0	0	0	0	0	0	0	0	0	68	1.5	69	2.5
24	12	12	4	12	2	1	62	0	0	0	0	1	0	0	0	0	65	1	58	3
24	14	14	3	14	2	1	65	0	0	0	0	1	0	0	0	0	69	1	63	3
25	9	9	6	9	2.5	0.5	69	0	0	0	0	0	0	0	0	0	71	2	63	3
26	5	5	8	5	2.75	0.25	65	0	0	0	0	0	0	0	1	0	72	2	69	3
28	1	1	11	1	3	1	50	1	0	0	0	1	0	0	0	0	57	2	51	4
28	1	1	11	1	3	1	55	1	0	0	0	0	0	0	0	0	57	2	51	4
28	5	5	8	5	3	0.75	69	0	0	0	0	0	0	0	0	1	65	2.75	63	3.75
28	9	9	6	9	3	1.5	63	0	0	0	0	0	0	0	1	0	69	2.5	73	4.5
28	12	12	4	12	3	1	58	0	0	0	0	1	0	0	0	0	62	2	57	4
28	14	14	3	14	3	1	63	0	0	0	0	1	0	0	0	0	65	2	62	4
29	5	5	8	5	3.75	0.25	63	0	0	0	0	0	0	0	1	0	69	3	67	4
30	1	1	11	1	4	1.5	51	0	0	0	0	1	1	0	0	0	50	3	51	5.5
30	5	5	8	5	4	1.5	67	0	0	0	0	0	0	0	0	0	63	3.75	67	5.5
30	12	12	4	12	4	1.5	57	0	0	0	0	1	0	0	0	0	58	3	57	5.5
30	14	14	3	14	4	1.5	62	0	0	0	0	1	0	0	0	0	63	3	62	5.5
31	9	9	6	9	4.5	1	73	0	0	0	0	0	0	0	0	1	63	3	0	0
33	1	1	11	1	5.5	0.5	51	0	0	0	0	1	0	0	0	0	51	4	0	0
33	5	5	8	5	5.5	0.5	67	0	0	0	0	1	1	0	0	1	67	4	0	0
33	12	12	4	12	5.5	0.5	57	0	0	0	0	1	0	0	0	0	57	4	0	0
33	14	14	3	14	5.5	0.5	62	0	0	0	0	1	0	0	0	0	62	4	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
