**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	2	1	0	0.25	42	0	0	0	0	0	1	0	0	0	0	-1	57	0.25
19	1	1	2	1	0.25	0.25	57	0	0	0	0	0	1	0	0	0	42	0	51	0.5
20	1	1	2	1	0.5	0.25	51	0	0	0	0	0	1	0	0	0	57	0.25	48	0.75
20	2	2	1	2	0.5	0.25	81	0	1	0	0	0	0	0	0	0	0	-1	74	0.75
21	1	1	2	1	0.75	0.25	48	0	0	0	0	0	1	0	0	0	51	0.5	59	1
21	2	2	1	2	0.75	2	74	0	1	0	0	0	0	0	0	0	81	0.5	73	2.75
22	1	1	2	1	1	0.25	59	0	0	0	0	0	1	0	0	0	48	0.75	56	1.25
23	1	1	2	1	1.25	0.25	56	0	0	0	0	0	1	0	0	0	59	1	42	1.5
24	1	1	2	1	1.5	0.25	42	0	0	0	0	0	1	0	0	0	56	1.25	57	1.75
25	1	1	2	1	1.75	0.25	57	0	0	0	0	0	1	0	0	0	42	1.5	51	2
26	1	1	2	1	2	0.25	51	0	0	0	0	0	1	0	0	0	57	1.75	48	2.25
27	1	1	2	1	2.25	0.25	48	0	0	0	0	0	1	0	0	0	51	2	59	2.5
28	1	1	2	1	2.5	0.25	59	0	0	0	0	0	1	0	0	0	48	2.25	56	2.75
29	1	1	2	1	2.75	0.25	56	0	0	0	0	0	1	0	0	0	59	2.5	42	3
29	2	2	1	2	2.75	1.5	73	0	1	0	0	0	0	0	0	0	74	0.75	65	4.25
30	1	1	2	1	3	0.25	42	0	0	0	0	0	1	0	0	0	56	2.75	57	3.25
31	1	1	2	1	3.25	0.25	57	0	0	0	0	0	1	0	0	0	42	3	51	3.5
32	1	1	2	1	3.5	0.25	51	0	0	0	0	0	1	0	0	0	57	3.25	48	3.75
33	1	1	2	1	3.75	0.25	48	0	0	0	0	0	1	0	0	0	51	3.5	59	4
34	1	1	2	1	4	0.25	59	0	0	0	0	0	1	0	0	0	48	3.75	56	4.25
35	1	1	2	1	4.25	0.25	56	0	0	0	0	0	1	0	0	0	59	4	42	4.5
35	2	2	1	2	4.25	0.75	65	0	1	0	0	0	0	0	0	0	73	2.75	68	5
37	1	1	2	1	4.5	0.25	42	0	0	0	0	0	1	0	0	0	56	4.25	57	4.75
38	1	1	2	1	4.75	0.25	57	0	0	0	0	0	1	0	0	0	42	4.5	51	5
39	1	1	2	1	5	0.25	51	0	0	0	0	0	1	0	0	0	57	4.75	48	5.25
39	2	2	1	2	5	2	68	0	1	0	0	0	0	0	0	0	65	4.25	68	7
40	1	1	2	1	5.25	0.25	48	0	0	0	0	0	1	0	0	0	51	5	59	5.5
41	1	1	2	1	5.5	0.25	59	0	0	0	0	0	1	0	0	0	48	5.25	56	5.75
42	1	1	2	1	5.75	0.25	56	0	0	0	0	0	1	0	0	0	59	5.5	42	6
43	1	1	2	1	6	0.25	42	0	0	0	0	0	1	0	0	0	56	5.75	57	6.25
44	1	1	2	1	6.25	0.25	57	0	0	0	0	0	1	0	0	0	42	6	51	6.5
45	1	1	2	1	6.5	0.25	51	0	0	0	0	0	1	0	0	0	57	6.25	48	6.75
46	1	1	2	1	6.75	0.25	48	0	0	0	0	0	1	0	0	0	51	6.5	59	7
47	1	1	2	1	7	0.25	59	0	0	0	0	0	1	0	0	0	48	6.75	56	7.25
47	2	2	1	2	7	1	68	0	1	0	0	0	0	0	0	0	68	5	68	8
48	1	1	2	1	7.25	0.25	56	0	0	0	0	0	1	0	0	0	59	7	42	7.5
49	1	1	2	1	7.5	0.25	42	0	0	0	0	0	1	0	0	0	56	7.25	57	7.75
50	1	1	2	1	7.75	0.25	57	0	0	0	0	0	1	0	0	0	42	7.5	51	8
51	1	1	2	1	8	0.25	51	0	0	0	0	0	1	0	0	0	57	7.75	48	8.25
51	2	2	1	2	8	1.25	68	0	1	0	0	0	0	0	0	0	68	7	66	9.25
52	1	1	2	1	8.25	0.25	48	0	0	0	0	0	1	0	0	0	51	8	59	8.5
53	1	1	2	1	8.5	0.25	59	0	0	0	0	0	1	0	0	0	48	8.25	56	8.75
54	1	1	2	1	8.75	0.25	56	0	0	0	0	0	1	0	0	0	59	8.5	42	9
56	1	1	2	1	9	0.25	42	0	0	0	0	0	1	0	0	0	56	8.75	57	9.25
57	1	1	2	1	9.25	0.25	57	0	0	0	0	0	1	0	0	0	42	9	51	9.5
57	2	2	1	2	9.25	0.25	66	0	0	1	0	0	1	0	0	0	68	8	71	9.5
58	1	1	2	1	9.5	0.25	51	0	0	0	0	0	1	0	0	0	57	9.25	48	9.75
