**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	2	1	0	0.2	32	0	0	0	0	0	0	0	0	0	0	-1	35	0.2
18	2	2	1	2	0	0.75	44	0	0	0	0	1	0	0	0	0	0	-1	46	0.75
19	1	1	2	1	0.2	0.2	35	0	0	0	0	0	0	0	0	0	32	0	32	0.4
20	1	1	2	1	0.4	0.2	32	0	0	0	0	0	0	0	0	0	35	0.2	30	0.6
21	1	1	2	1	0.6	0.2	30	0	0	0	0	0	0	0	0	0	32	0.4	31	0.8
22	2	2	1	2	0.75	0.25	46	0	0	0	0	0	0	0	0	0	44	0	46	1
23	1	1	2	1	0.8	0.2	31	0	0	0	0	0	0	0	0	0	30	0.6	32	1
24	1	1	2	1	1	0.2	32	0	0	0	0	0	0	0	0	0	31	0.8	35	1.2
24	2	2	1	2	1	0.75	46	0	0	0	0	1	0	0	0	0	46	0.75	47	1.75
25	1	1	2	1	1.2	0.2	35	0	0	0	0	0	0	0	0	0	32	1	32	1.4
26	1	1	2	1	1.4	0.2	32	0	0	0	0	0	0	0	0	0	35	1.2	30	1.6
27	1	1	2	1	1.6	0.2	30	0	0	0	0	0	0	0	0	0	32	1.4	31	1.8
28	2	2	1	2	1.75	0.25	47	0	0	0	0	0	0	0	0	0	46	1	47	2
29	1	1	2	1	1.8	0.2	31	0	0	0	0	0	0	0	0	0	30	1.6	32	2
30	1	1	2	1	2	0.2	32	0	0	0	0	0	0	0	0	0	31	1.8	35	2.2
30	2	2	1	2	2	0.75	47	0	0	0	0	0	0	0	0	0	47	1.75	49	2.75
31	1	1	2	1	2.2	0.2	35	0	0	0	0	0	0	0	0	0	32	2	32	2.4
32	1	1	2	1	2.4	0.2	32	0	0	0	0	0	0	0	0	0	35	2.2	30	2.6
33	1	1	2	1	2.6	0.2	30	0	0	0	0	0	0	0	0	0	32	2.4	31	2.8
34	2	2	1	2	2.75	0.25	49	0	0	0	0	0	0	0	0	0	47	2	49	3
35	1	1	2	1	2.8	0.2	31	0	0	0	0	0	0	0	0	0	30	2.6	32	3
36	1	1	2	1	3	0.2	32	0	0	0	0	0	0	0	0	0	31	2.8	35	3.2
36	2	2	1	2	3	0.75	49	0	0	0	0	0	0	0	0	0	49	2.75	47	3.75
37	1	1	2	1	3.2	0.2	35	0	0	0	0	0	0	0	0	0	32	3	32	3.4
38	1	1	2	1	3.4	0.2	32	0	0	0	0	0	0	0	0	0	35	3.2	30	3.6
39	1	1	2	1	3.6	0.2	30	0	0	0	0	0	0	0	0	0	32	3.4	31	3.8
40	2	2	1	2	3.75	0.25	47	0	0	0	0	0	0	0	0	0	49	3	52	4
41	1	1	2	1	3.8	0.2	31	0	0	0	0	0	0	0	0	0	30	3.6	31	4
45	1	1	2	1	4	0.2	31	0	0	0	0	0	0	0	0	0	31	3.8	36	4.2
45	2	2	1	2	4	0.75	52	0	0	0	0	1	0	0	0	0	47	3.75	54	4.75
46	1	1	2	1	4.2	0.2	36	0	0	0	0	0	0	0	0	0	31	4	31	4.4
47	1	1	2	1	4.4	0.2	31	0	0	0	0	0	0	0	0	0	36	4.2	27	4.6
48	1	1	2	1	4.6	0.2	27	0	0	0	0	0	0	0	0	0	31	4.4	28	4.8
49	2	2	1	2	4.75	0.25	54	0	0	0	0	0	0	0	0	0	52	4	54	5
50	1	1	2	1	4.8	0.2	28	0	0	0	0	0	0	0	0	0	27	4.6	31	5
51	1	1	2	1	5	0.2	31	0	0	0	0	0	0	0	0	0	28	4.8	36	5.2
51	2	2	1	2	5	0.75	54	0	0	0	0	1	0	0	0	0	54	4.75	47	5.75
52	1	1	2	1	5.2	0.2	36	0	0	0	0	0	0	0	0	0	31	5	31	5.4
53	1	1	2	1	5.4	0.2	31	0	0	0	0	0	0	0	0	0	36	5.2	27	5.6
54	1	1	2	1	5.6	0.2	27	0	0	0	0	0	0	0	0	0	31	5.4	28	5.8
55	2	2	1	2	5.75	0.25	47	0	0	0	0	0	0	0	0	0	54	5	52	6
56	1	1	2	1	5.8	0.2	28	0	0	0	0	0	0	0	0	0	27	5.6	31	6
57	1	1	2	1	6	0.2	31	0	0	0	0	0	0	0	0	0	28	5.8	36	6.2
57	2	2	1	2	6	0.75	52	0	0	0	0	1	0	0	0	0	47	5.75	54	6.75
58	1	1	2	1	6.2	0.2	36	0	0	0	0	0	0	0	0	0	31	6	31	6.4
59	1	1	2	1	6.4	0.2	31	0	0	0	0	0	0	0	0	0	36	6.2	27	6.6
60	1	1	2	1	6.6	0.2	27	0	0	0	0	0	0	0	0	0	31	6.4	28	6.8
61	2	2	1	2	6.75	0.25	54	0	0	0	0	0	0	0	0	0	52	6	59	7
62	1	1	2	1	6.8	0.2	28	0	0	0	0	0	0	0	0	0	27	6.6	31	7
63	1	1	2	1	7	0.2	31	0	0	0	0	0	0	0	0	0	28	6.8	36	7.2
63	2	2	1	2	7	0.75	59	0	0	0	0	1	0	0	0	0	54	6.75	61	7.75
64	1	1	2	1	7.2	0.2	36	0	0	0	0	0	0	0	0	0	31	7	31	7.4
65	1	1	2	1	7.4	0.2	31	0	0	0	0	0	0	0	0	0	36	7.2	27	7.6
66	1	1	2	1	7.6	0.2	27	0	0	0	0	0	0	0	0	0	31	7.4	28	7.8
67	2	2	1	2	7.75	0.25	61	0	0	0	0	0	0	0	0	0	59	7	61	8
68	1	1	2	1	7.8	0.2	28	0	0	0	0	0	0	0	0	0	27	7.6	31	8
71	1	1	2	1	8	0.2	31	0	0	0	0	0	0	0	0	0	28	7.8	36	8.2
71	2	2	1	2	8	0.75	61	0	0	0	0	1	0	0	0	0	61	7.75	63	8.75
72	1	1	2	1	8.2	0.2	36	0	0	0	0	0	0	0	0	0	31	8	31	8.4
73	1	1	2	1	8.4	0.2	31	0	0	0	0	0	0	0	0	0	36	8.2	27	8.6
74	1	1	2	1	8.6	0.2	27	0	0	0	0	0	0	0	0	0	31	8.4	28	8.8
75	2	2	1	2	8.75	0.25	63	0	0	0	0	0	0	0	0	0	61	8	63	9
76	1	1	2	1	8.8	0.2	28	0	0	0	0	0	0	0	0	0	27	8.6	31	9
77	1	1	2	1	9	0.2	31	0	0	0	0	0	0	0	0	0	28	8.8	36	9.2
77	2	2	1	2	9	0.75	63	0	0	0	0	1	0	0	0	0	63	8.75	59	9.75
78	1	1	2	1	9.2	0.2	36	0	0	0	0	0	0	0	0	0	31	9	31	9.4
79	1	1	2	1	9.4	0.2	31	0	0	0	0	0	0	0	0	0	36	9.2	27	9.6
80	1	1	2	1	9.6	0.2	27	0	0	0	0	0	0	0	0	0	31	9.4	28	9.8
81	2	2	1	2	9.75	0.25	59	0	0	0	0	0	0	0	0	0	63	9	64	10
82	1	1	2	1	9.8	0.2	28	0	0	0	0	0	0	0	0	0	27	9.6	31	10
83	1	1	2	1	10	0.2	31	0	0	0	0	0	0	0	0	0	28	9.8	36	10.2
83	2	2	1	2	10	0.75	64	0	0	0	0	1	0	0	0	0	59	9.75	66	10.75
84	1	1	2	1	10.2	0.2	36	0	0	0	0	0	0	0	0	0	31	10	31	10.4
85	1	1	2	1	10.4	0.2	31	0	0	0	0	0	0	0	0	0	36	10.2	27	10.6
86	1	1	2	1	10.6	0.2	27	0	0	0	0	0	0	0	0	0	31	10.4	28	10.8
87	2	2	1	2	10.75	0.25	66	0	0	0	0	0	0	0	0	0	64	10	66	11
88	1	1	2	1	10.8	0.2	28	0	0	0	0	0	0	0	0	0	27	10.6	31	11
89	1	1	2	1	11	0.2	31	0	0	0	0	0	0	0	0	0	28	10.8	36	11.2
89	2	2	1	2	11	0.75	66	0	0	0	0	1	0	0	0	0	66	10.75	62	11.75
90	1	1	2	1	11.2	0.2	36	0	0	0	0	0	0	0	0	0	31	11	31	11.4
91	1	1	2	1	11.4	0.2	31	0	0	0	0	0	0	0	0	0	36	11.2	27	11.6
92	1	1	2	1	11.6	0.2	27	0	0	0	0	0	0	0	0	0	31	11.4	28	11.8
93	2	2	1	2	11.75	0.25	62	0	0	0	0	0	0	0	0	0	66	11	67	12
94	1	1	2	1	11.8	0.2	28	0	0	0	0	0	0	0	0	0	27	11.6	31	12
96	1	1	2	1	12	0.2	31	0	0	0	0	0	0	0	0	0	28	11.8	36	12.2
