**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	4	1	0	0.75	66	0	1	0	0	0	0	0	0	0	0	-1	65	0.75
18	3	3	3	3	0	0.5	70	0	1	0	0	0	0	0	0	0	0	-1	73	0.5
18	5	5	2	5	0	0.75	78	0	1	0	0	0	0	0	0	0	0	-1	77	0.75
18	7	7	1	7	0	0.5	82	0	1	0	0	0	0	0	0	0	0	-1	85	0.5
19	3	3	3	3	0.5	0.5	73	0	1	0	0	0	0	0	0	0	70	0	69	1
19	7	7	1	7	0.5	0.5	85	0	1	0	0	0	0	0	0	0	82	0	81	1
20	1	1	4	1	0.75	0.75	65	0	1	0	0	0	0	0	0	0	66	0	64	1.5
20	5	5	2	5	0.75	0.75	77	0	1	0	0	0	0	0	0	0	78	0	76	1.5
21	3	3	3	3	1	0.5	69	0	1	0	0	0	0	0	0	0	73	0.5	72	1.5
21	7	7	1	7	1	0.5	81	0	1	0	0	0	0	0	0	0	85	0.5	84	1.5
22	1	1	4	1	1.5	0.75	64	0	1	0	0	0	0	0	0	0	65	0.75	63	2.25
22	3	3	3	3	1.5	1	72	0	0	0	0	0	0	0	1	0	69	1	68	2.5
22	5	5	2	5	1.5	0.75	76	0	1	0	0	0	0	0	0	0	77	0.75	75	2.25
22	7	7	1	7	1.5	1	84	0	0	0	0	0	0	0	1	0	81	1	80	2.5
23	1	1	4	1	2.25	0.75	63	0	1	0	0	0	0	0	0	0	64	1.5	62	3
23	5	5	2	5	2.25	0.75	75	0	1	0	0	0	0	0	0	0	76	1.5	74	3
24	3	3	3	3	2.5	0.5	68	0	0	0	0	0	0	0	0	1	72	1.5	71	3
24	7	7	1	7	2.5	0.5	80	0	0	0	0	0	0	0	0	1	84	1.5	83	3
25	1	1	4	1	3	0.75	62	0	1	0	0	0	0	0	0	0	63	2.25	61	3.75
25	3	3	3	3	3	0.5	71	0	1	0	0	0	0	0	0	0	68	2.5	67	3.5
25	5	5	2	5	3	0.75	74	0	1	0	0	0	0	0	0	0	75	2.25	73	3.75
25	7	7	1	7	3	0.5	83	0	1	0	0	0	0	0	0	0	80	2.5	79	3.5
26	3	3	3	3	3.5	0.5	67	0	1	0	0	0	0	0	0	0	71	3	70	4
26	7	7	1	7	3.5	0.5	79	0	1	0	0	0	0	0	0	0	83	3	82	4
27	1	1	4	1	3.75	0.75	61	0	1	0	0	0	0	0	0	0	62	3	60	4.5
27	5	5	2	5	3.75	0.75	73	0	1	0	0	0	0	0	0	0	74	3	72	4.5
28	3	3	3	3	4	0.5	70	0	1	0	0	0	0	0	0	0	67	3.5	66	4.5
28	7	7	1	7	4	0.5	82	0	1	0	0	0	0	0	0	0	79	3.5	78	4.5
29	1	1	4	1	4.5	0.75	60	0	1	0	0	0	0	0	0	0	61	3.75	59	5.25
29	3	3	3	3	4.5	0.5	66	0	1	0	0	0	0	0	0	0	70	4	68	5
29	5	5	2	5	4.5	0.75	72	0	1	0	0	0	0	0	0	0	73	3.75	71	5.25
29	7	7	1	7	4.5	0.5	78	0	1	0	0	0	0	0	0	0	82	4	80	5
30	3	3	3	3	5	0.5	68	0	1	0	0	0	0	0	0	0	66	4.5	65	5.5
30	7	7	1	7	5	0.5	80	0	1	0	0	0	0	0	0	0	78	4.5	77	5.5
31	1	1	4	1	5.25	0.75	59	0	1	0	0	0	0	0	0	0	60	4.5	60	6
31	5	5	2	5	5.25	0.75	71	0	1	0	0	0	0	0	0	0	72	4.5	72	6
32	3	3	3	3	5.5	0.5	65	0	1	0	0	0	0	0	0	0	68	5	64	6
32	7	7	1	7	5.5	0.5	77	0	1	0	0	0	0	0	0	0	80	5	76	6
34	1	1	4	1	6	0.75	60	0	1	0	0	0	0	0	0	0	59	5.25	59	6.75
34	3	3	3	3	6	0.5	64	0	1	0	0	0	0	0	0	0	65	5.5	67	6.5
34	5	5	2	5	6	0.75	72	0	1	0	0	0	0	0	0	0	71	5.25	71	6.75
34	7	7	1	7	6	0.5	76	0	1	0	0	0	0	0	0	0	77	5.5	79	6.5
35	3	3	3	3	6.5	0.5	67	0	1	0	0	0	0	0	0	0	64	6	63	7
35	7	7	1	7	6.5	0.5	79	0	1	0	0	0	0	0	0	0	76	6	75	7
36	1	1	4	1	6.75	0.75	59	0	1	0	0	0	0	0	0	0	60	6	58	7.5
36	5	5	2	5	6.75	0.75	71	0	1	0	0	0	0	0	0	0	72	6	70	7.5
37	3	3	3	3	7	0.5	63	0	1	0	0	0	0	0	0	0	67	6.5	66	7.5
37	7	7	1	7	7	0.5	75	0	1	0	0	0	0	0	0	0	79	6.5	78	7.5
38	1	1	4	1	7.5	0.75	58	0	1	0	0	0	0	0	0	0	59	6.75	57	8.25
38	3	3	3	3	7.5	1	66	0	0	0	0	0	0	0	1	0	63	7	62	8.5
38	5	5	2	5	7.5	0.75	70	0	1	0	0	0	0	0	0	0	71	6.75	69	8.25
38	7	7	1	7	7.5	1	78	0	0	0	0	0	0	0	1	0	75	7	74	8.5
39	1	1	4	1	8.25	0.75	57	0	1	0	0	0	0	0	0	0	58	7.5	56	9
39	5	5	2	5	8.25	0.75	69	0	1	0	0	0	0	0	0	0	70	7.5	68	9
40	3	3	3	3	8.5	0.5	62	0	0	0	0	0	0	0	0	1	66	7.5	65	9
40	7	7	1	7	8.5	0.5	74	0	0	0	0	0	0	0	0	1	78	7.5	77	9
41	1	1	4	1	9	0.75	56	0	1	0	0	0	0	0	0	0	57	8.25	55	9.75
41	3	3	3	3	9	0.5	65	0	1	0	0	0	0	0	0	0	62	8.5	61	9.5
41	5	5	2	5	9	0.75	68	0	1	0	0	0	0	0	0	0	69	8.25	67	9.75
41	7	7	1	7	9	0.5	77	0	1	0	0	0	0	0	0	0	74	8.5	73	9.5
42	3	3	3	3	9.5	0.5	61	0	1	0	0	0	0	0	0	0	65	9	64	10
42	7	7	1	7	9.5	0.5	73	0	1	0	0	0	0	0	0	0	77	9	76	10
43	1	1	4	1	9.75	0.75	55	0	1	0	0	0	0	0	0	0	56	9	54	10.5
43	5	5	2	5	9.75	0.75	67	0	1	0	0	0	0	0	0	0	68	9	66	10.5
44	3	3	3	3	10	0.5	64	0	1	0	0	0	0	0	0	0	61	9.5	60	10.5
44	7	7	1	7	10	0.5	76	0	1	0	0	0	0	0	0	0	73	9.5	72	10.5
45	1	1	4	1	10.5	0.75	54	0	1	0	0	0	0	0	0	0	55	9.75	53	11.25
45	3	3	3	3	10.5	0.5	60	0	1	0	0	0	0	0	0	0	64	10	63	11
45	5	5	2	5	10.5	0.75	66	0	1	0	0	0	0	0	0	0	67	9.75	65	11.25
45	7	7	1	7	10.5	0.5	72	0	1	0	0	0	0	0	0	0	76	10	75	11
46	3	3	3	3	11	0.5	63	0	1	0	0	0	0	0	0	0	60	10.5	59	11.5
46	7	7	1	7	11	0.5	75	0	1	0	0	0	0	0	0	0	72	10.5	71	11.5
47	1	1	4	1	11.25	0.75	53	0	1	0	0	0	0	0	0	0	54	10.5	0	0
47	5	5	2	5	11.25	0.75	65	0	1	0	0	0	0	0	0	0	66	10.5	0	0
48	3	3	3	3	11.5	0.5	59	0	1	0	0	0	0	0	0	0	63	11	0	0
48	7	7	1	7	11.5	0.5	71	0	1	0	0	0	0	0	0	0	75	11	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
