**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	6	6	8	6	0	0.5	58	0	0	0	0	0	0	0	0	0	0	-1	61	0.5
18	7	7	7	7	0	0.25	60	0	0	0	0	0	0	0	0	0	0	-1	64	0.25
19	7	7	7	7	0.25	0.25	64	0	0	0	0	0	0	0	0	0	60	0	67	0.5
20	6	6	8	6	0.5	0.5	61	0	0	0	0	0	0	0	0	0	58	0	63	1
20	7	7	7	7	0.5	0.25	67	0	0	0	0	0	0	0	0	0	64	0.25	71	0.75
21	7	7	7	7	0.75	0.25	71	0	0	0	0	0	0	0	0	0	67	0.5	67	1
22	6	6	8	6	1	0.5	63	0	0	0	0	0	0	0	0	0	61	0.5	66	1.5
22	7	7	7	7	1	0.25	67	0	0	0	0	0	0	0	0	0	71	0.75	64	1.25
23	7	7	7	7	1.25	0.25	64	0	0	0	0	0	0	0	0	0	67	1	62	1.5
24	6	6	8	6	1.5	0.5	66	0	0	0	0	0	0	0	0	0	63	1	63	2
24	7	7	7	7	1.5	0.25	62	0	0	0	0	0	0	0	0	0	64	1.25	64	1.75
25	7	7	7	7	1.75	0.25	64	0	0	0	0	0	0	0	0	0	62	1.5	60	2
26	6	6	8	6	2	0.5	63	0	0	0	0	0	0	0	0	0	66	1.5	61	2.5
26	7	7	7	7	2	0.25	60	0	0	0	0	0	0	0	0	0	64	1.75	64	2.25
27	7	7	7	7	2.25	0.25	64	0	0	0	0	0	0	0	0	0	60	2	67	2.5
29	1	1	11	1	2.5	0.5	36	0	0	0	0	0	0	0	0	0	0	-1	47	3
29	3	3	10	3	2.5	0.5	36	0	0	0	0	0	0	0	0	0	0	-1	47	3
29	6	6	8	6	2.5	0.5	61	0	0	0	0	0	0	0	0	0	63	2	58	3
29	7	7	7	7	2.5	0.25	67	0	0	0	0	0	0	0	0	0	64	2.25	71	2.75
30	7	7	7	7	2.75	0.25	71	0	0	0	0	0	0	0	0	0	67	2.5	67	3
31	1	1	11	1	3	0.5	47	0	0	0	0	0	0	0	0	0	36	2.5	48	3.5
31	3	3	10	3	3	0.5	47	0	0	0	0	0	0	0	0	0	36	2.5	48	3.5
31	6	6	8	6	3	0.5	58	0	0	0	0	0	0	0	0	0	61	2.5	61	3.5
31	7	7	7	7	3	0.25	67	0	0	0	0	0	0	0	0	0	71	2.75	64	3.25
32	7	7	7	7	3.25	0.25	64	0	0	0	0	0	0	0	0	0	67	3	62	3.5
33	1	1	11	1	3.5	0.5	48	0	0	0	0	0	0	0	0	0	47	3	48	4
33	3	3	10	3	3.5	0.5	48	0	0	0	0	0	0	0	0	0	47	3	48	4
33	6	6	8	6	3.5	0.5	61	0	0	0	0	0	0	0	0	0	58	3	63	4
33	7	7	7	7	3.5	0.25	62	0	0	0	0	0	0	0	0	0	64	3.25	64	3.75
34	7	7	7	7	3.75	0.25	64	0	0	0	0	0	0	0	0	0	62	3.5	60	4
36	1	1	11	1	4	0.5	48	0	0	0	0	0	0	0	0	0	48	3.5	48	5
36	3	3	10	3	4	0.5	48	0	0	0	0	0	0	0	0	0	48	3.5	48	5
36	6	6	8	6	4	0.5	63	0	0	0	0	0	0	0	0	0	61	3.5	66	4.5
36	7	7	7	7	4	0.25	60	0	0	0	0	0	0	0	0	0	64	3.75	64	4.25
37	7	7	7	7	4.25	0.25	64	0	0	0	0	0	0	0	0	0	60	4	67	4.5
38	6	6	8	6	4.5	0.5	66	0	0	0	0	0	0	0	0	0	63	4	63	5
38	7	7	7	7	4.5	0.25	67	0	0	0	0	0	0	0	0	0	64	4.25	71	4.75
38	11	11	5	11	4.5	1	59	0	0	0	0	1	0	0	0	0	0	-1	60	5.5
38	13	13	4	13	4.5	1	67	0	0	0	0	1	0	0	0	0	0	-1	66	5.5
38	17	17	2	17	4.5	1	71	0	0	0	0	1	0	0	0	0	0	-1	70	5.5
38	19	19	1	19	4.5	1	72	0	0	0	0	1	0	0	0	0	0	-1	72	5.5
39	7	7	7	7	4.75	0.25	71	0	0	0	0	0	0	0	0	0	67	4.5	67	5
40	1	1	11	1	5	0.5	48	0	0	0	0	0	0	0	0	0	48	4	47	5.5
40	3	3	10	3	5	0.5	48	0	0	0	0	0	0	0	0	0	48	4	47	5.5
40	6	6	8	6	5	0.5	63	0	0	0	0	0	0	0	0	0	66	4.5	61	5.5
40	7	7	7	7	5	0.25	67	0	0	0	0	0	0	0	0	0	71	4.75	64	5.25
41	7	7	7	7	5.25	0.25	64	0	0	0	0	0	0	0	0	0	67	5	62	5.5
42	1	1	11	1	5.5	0.5	47	0	0	0	0	0	0	0	0	0	48	5	36	6
42	3	3	10	3	5.5	0.5	47	0	0	0	0	0	0	0	0	0	48	5	36	6
42	6	6	8	6	5.5	0.5	61	0	0	0	0	0	0	0	0	0	63	5	58	6
42	7	7	7	7	5.5	0.25	62	0	0	0	0	0	0	0	0	0	64	5.25	64	5.75
42	11	11	5	11	5.5	1	60	0	0	0	0	1	0	0	0	0	59	4.5	61	6.5
42	13	13	4	13	5.5	1	66	0	0	0	0	1	0	0	0	0	67	4.5	64	6.5
42	17	17	2	17	5.5	1	70	0	0	0	0	1	0	0	0	0	71	4.5	67	6.5
42	19	19	1	19	5.5	1	72	0	0	0	0	1	0	0	0	0	72	4.5	70	6.5
43	7	7	7	7	5.75	0.25	64	0	0	0	0	0	0	0	0	0	62	5.5	60	6
44	1	1	11	1	6	0.5	36	0	0	0	0	0	0	0	0	0	47	5.5	32	12
44	3	3	10	3	6	0.5	36	0	0	0	0	0	0	0	0	0	47	5.5	44	12
44	6	6	8	6	6	0.5	58	0	0	0	0	0	0	0	0	0	61	5.5	61	6.5
44	7	7	7	7	6	0.25	60	0	0	0	0	0	0	0	0	0	64	5.75	64	6.25
45	7	7	7	7	6.25	0.25	64	0	0	0	0	0	0	0	0	0	60	6	67	6.5
46	6	6	8	6	6.5	0.5	61	0	0	0	0	0	0	0	0	0	58	6	63	7
46	7	7	7	7	6.5	0.25	67	0	0	0	0	0	0	0	0	0	64	6.25	71	6.75
46	11	11	5	11	6.5	1	61	0	0	0	0	1	0	0	0	0	60	5.5	60	7.5
46	13	13	4	13	6.5	1	64	0	0	0	0	1	0	0	0	0	66	5.5	66	7.5
46	17	17	2	17	6.5	1	67	0	0	0	0	1	0	0	0	0	70	5.5	70	7.5
46	19	19	1	19	6.5	1	70	0	0	0	0	1	0	0	0	0	72	5.5	72	7.5
47	7	7	7	7	6.75	0.25	71	0	0	0	0	0	0	0	0	0	67	6.5	67	7
48	6	6	8	6	7	0.5	63	0	0	0	0	0	0	0	0	0	61	6.5	66	7.5
48	7	7	7	7	7	0.25	67	0	0	0	0	0	0	0	0	0	71	6.75	64	7.25
49	7	7	7	7	7.25	0.25	64	0	0	0	0	0	0	0	0	0	67	7	62	7.5
50	6	6	8	6	7.5	0.5	66	0	0	0	0	0	0	0	0	0	63	7	63	8
