**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	10	10	5	10	0	0.5	78	0	0	0	0	0	0	0	1	0	0	-1	74	0.5
19	10	10	5	10	0.5	0.5	74	0	0	0	0	0	0	0	0	1	78	0	63	11.3333
19	14	14	3	14	0.5	0.5	85	0	0	0	0	1	0	0	0	0	0	-1	69	1
20	14	14	3	14	1	1	69	0	0	0	0	0	0	0	1	0	85	0.5	58	2
21	1	1	10	1	1.5	0.5	39	0	0	0	0	0	0	0	0	0	0	-1	49	4.5
23	2	2	9	2	2	1	55	1	0	0	0	0	0	0	1	0	0	-1	71	3
23	2	2	9	2	2	1	66	1	0	0	0	0	0	0	1	0	0	-1	71	3
23	6	6	7	6	2	0.5	80	0	0	0	0	1	0	0	0	0	0	-1	60	2.5
23	14	14	3	14	2	0.5	58	0	0	0	0	0	0	0	0	1	69	1	0	0
24	6	6	7	6	2.5	1	60	0	0	0	0	0	0	0	1	0	80	2	71	3.5
25	2	2	9	2	3	0.5	71	0	0	0	0	0	1	0	0	1	55	2	50	4
26	4	4	8	4	3.5	0.5	76	0	0	0	0	1	0	0	0	0	0	-1	63	4
26	6	6	7	6	3.5	0.5	71	0	0	0	0	0	0	0	0	1	60	2.5	85	7.5
29	2	2	9	2	4	0.5	50	1	0	0	0	0	0	0	0	0	71	3	69	5
29	2	2	9	2	4	0.5	58	1	0	0	0	0	0	0	0	0	71	3	69	5
29	4	4	8	4	4	1	63	0	0	0	0	0	0	0	1	0	76	3.5	55	5
30	1	1	10	1	4.5	0.5	49	1	0	0	0	0	0	0	0	0	39	1.5	53	5.5
30	1	1	10	1	4.5	0.5	60	1	0	0	0	0	0	0	0	0	39	1.5	53	5.5
32	2	2	9	2	5	0.5	69	1	0	0	0	0	0	0	1	0	50	4	80	11
32	2	2	9	2	5	0.5	80	1	0	0	0	0	0	0	1	0	50	4	80	11
32	4	4	8	4	5	0.5	55	0	0	0	0	0	0	0	0	1	63	4	69	9
32	16	16	2	16	5	0.5	64	0	0	0	0	0	0	0	0	0	0	-1	80	5.5
33	1	1	10	1	5.5	0.5	53	1	0	0	0	0	0	0	0	0	49	4.5	42	6.5
33	1	1	10	1	5.5	0.5	64	1	0	0	0	0	0	0	0	0	49	4.5	42	6.5
33	16	16	2	16	5.5	0.5	80	0	0	0	0	0	1	0	0	0	64	5	67	6
35	12	12	4	12	6	1	72	0	0	0	0	0	0	0	1	0	0	-1	59	7
35	16	16	2	16	6	0.5	67	0	0	0	0	1	0	0	0	0	80	5.5	64	10
36	1	1	10	1	6.5	0.5	42	0	0	0	0	0	0	0	1	0	53	5.5	55	7
37	1	1	10	1	7	0.5	55	1	0	0	0	0	0	0	0	1	42	6.5	74	8
37	1	1	10	1	7	0.5	63	1	0	0	0	0	0	0	0	1	42	6.5	74	8
37	12	12	4	12	7	0.5	59	0	0	0	0	0	0	0	0	0	72	6	63	7.5
38	6	6	7	6	7.5	0.5	85	0	0	0	0	1	0	0	0	0	71	3.5	74	8.5
38	12	12	4	12	7.5	0.5	63	0	0	0	0	0	0	0	0	1	59	7	72	11
41	1	1	10	1	8	0.5	74	0	0	0	0	0	0	0	1	0	55	7	47	8.5
42	1	1	10	1	8.5	0.5	47	1	0	0	0	0	0	0	0	1	74	8	69	9.5
42	1	1	10	1	8.5	0.5	58	1	0	0	0	0	0	0	0	1	74	8	69	9.5
42	6	6	7	6	8.5	0.5	74	0	0	0	0	1	0	0	1	0	85	7.5	58	9
43	4	4	8	4	9	0.5	69	0	0	0	0	0	0	0	1	0	55	5	77	9.5
43	6	6	7	6	9	0.5	58	0	0	0	0	1	0	0	0	1	74	8.5	60	14.6667
44	1	1	10	1	9.5	0.5	69	0	0	0	0	1	0	0	0	0	47	8.5	49	10
44	4	4	8	4	9.5	0.5	77	0	0	0	0	0	0	0	0	1	69	9	54	10
47	1	1	10	1	10	0.5	49	1	0	0	0	0	0	0	0	0	69	9.5	54	10.5
47	1	1	10	1	10	0.5	60	1	0	0	0	0	0	0	0	0	69	9.5	54	10.5
47	4	4	8	4	10	0.5	54	0	0	0	0	1	0	0	0	0	77	9.5	76	15.3333
47	16	16	2	16	10	0.5	64	0	0	0	0	0	0	0	0	0	67	6	80	10.5
49	1	1	10	1	10.5	0.5	54	1	0	0	0	0	0	0	0	0	49	10	42	12
49	1	1	10	1	10.5	0.5	64	1	0	0	0	0	0	0	0	0	49	10	42	12
49	16	16	2	16	10.5	0.5	80	0	0	0	0	0	1	0	0	0	64	10	67	11
51	2	2	9	2	11	0.5	80	0	0	0	0	1	0	0	0	0	69	5	55	12.5
51	12	12	4	12	11	0.5	72	0	0	0	0	0	0	0	1	0	63	7.5	59	11.5
51	16	16	2	16	11	0.5	67	0	0	0	0	1	0	0	0	0	80	10.5	86	16
52	10	10	5	10	11.3333	0.333333	63	0	0	0	0	0	0	0	1	0	74	0.5	74	11.6667
53	12	12	4	12	11.5	0.5	59	0	0	0	0	0	0	0	0	1	72	11	63	12
54	10	10	5	10	11.6667	0.333333	74	0	0	0	0	0	0	0	0	0	63	11.3333	78	12
56	1	1	10	1	12	0.5	42	0	0	0	0	1	0	0	0	0	54	10.5	47	13.5
56	10	10	5	10	12	0.333333	78	0	0	0	0	0	0	0	0	1	74	11.6667	0	0
56	12	12	4	12	12	0.5	63	0	0	0	0	1	0	0	0	0	59	11.5	0	0
58	2	2	9	2	12.5	0.5	55	1	0	0	0	0	0	0	1	0	80	11	74	13
58	2	2	9	2	12.5	0.5	63	1	0	0	0	0	0	0	1	0	80	11	74	13
60	2	2	9	2	13	0.5	74	0	0	0	0	0	0	0	0	1	55	12.5	63	15
61	1	1	10	1	13.5	0.5	47	1	0	0	0	1	0	0	0	0	42	12	47	14.5
61	1	1	10	1	13.5	0.5	58	1	0	0	0	0	0	0	0	0	42	12	47	14.5
63	8	8	6	8	14	0.333333	55	0	1	0	0	0	0	0	0	0	0	-1	47	14.3333
64	8	8	6	8	14.3333	0.333333	47	0	1	0	0	0	0	0	0	0	55	14	58	14.6667
65	1	1	10	1	14.5	0.5	47	0	0	0	0	1	0	0	0	0	47	13.5	43	15.5
66	6	6	7	6	14.6667	0.333333	60	0	0	0	0	1	0	0	0	0	58	9	68	15
66	8	8	6	8	14.6667	0.333333	58	0	1	0	0	0	0	0	0	0	47	14.3333	0	0
67	2	2	9	2	15	0.5	63	1	0	0	0	1	0	0	0	0	74	13	70	16
67	2	2	9	2	15	0.5	74	1	0	0	0	0	0	0	0	0	74	13	70	16
67	6	6	7	6	15	0.333333	68	0	0	0	0	0	0	0	1	0	60	14.6667	81	15.3333
68	4	4	8	4	15.3333	0.333333	76	0	0	0	0	0	0	0	1	0	54	10	65	15.6667
68	6	6	7	6	15.3333	0.333333	81	0	0	0	0	0	0	0	0	1	68	15	0	0
69	1	1	10	1	15.5	0.5	43	1	0	0	0	1	0	0	0	0	47	14.5	44	17
69	1	1	10	1	15.5	0.5	54	1	0	0	0	0	0	0	0	0	47	14.5	44	17
