**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	3	1	0	0.333333	33	0	0	0	0	0	0	0	0	0	0	-1	33	0.333333
18	3	3	2	3	0	0.333333	45	0	0	0	0	0	0	0	0	0	0	-1	45	0.333333
18	5	5	1	5	0	0.5	-13988	0	1	0	0	0	0	0	0	0	0	-1	-13988	1
19	1	1	3	1	0.333333	0.333333	33	0	0	0	0	0	0	0	0	0	33	0	33	0.666667
19	3	3	2	3	0.333333	0.333333	45	0	0	0	0	0	0	0	0	0	45	0	45	0.666667
21	1	1	3	1	0.666667	0.333333	33	0	0	0	0	0	0	0	0	0	33	0.333333	32	1
21	3	3	2	3	0.666667	0.333333	45	0	0	0	0	0	0	0	0	0	45	0.333333	44	1
22	1	1	3	1	1	0.333333	32	0	0	0	0	0	0	0	0	0	33	0.666667	32	1.33333
22	3	3	2	3	1	0.333333	44	0	0	0	0	0	0	0	0	0	45	0.666667	44	1.33333
22	5	5	1	5	1	0.333333	-13988	0	0	0	0	0	0	0	0	0	-13988	0	-13988	1.33333
23	1	1	3	1	1.33333	0.333333	32	0	0	0	0	0	0	0	0	0	32	1	32	1.66667
23	3	3	2	3	1.33333	0.333333	44	0	0	0	0	0	0	0	0	0	44	1	44	1.66667
23	5	5	1	5	1.33333	0.333333	-13988	0	0	0	0	0	0	0	0	0	-13988	1	-13988	1.66667
24	1	1	3	1	1.66667	0.333333	32	0	0	0	0	0	0	0	0	0	32	1.33333	31	2
24	3	3	2	3	1.66667	0.333333	44	0	0	0	0	0	0	0	0	0	44	1.33333	43	2
24	5	5	1	5	1.66667	0.333333	-13988	0	0	0	0	0	0	0	0	0	-13988	1.33333	-13988	2
25	1	1	3	1	2	0.333333	31	0	0	0	0	0	0	0	0	0	32	1.66667	31	2.33333
25	3	3	2	3	2	0.333333	43	0	0	0	0	0	0	0	0	0	44	1.66667	43	2.33333
25	5	5	1	5	2	0.75	-13988	0	0	0	0	0	0	0	0	0	-13988	1.66667	-13988	2.75
26	1	1	3	1	2.33333	0.333333	31	0	0	0	0	0	0	0	0	0	31	2	31	2.66667
26	3	3	2	3	2.33333	0.333333	43	0	0	0	0	0	0	0	0	0	43	2	43	2.66667
27	1	1	3	1	2.66667	0.333333	31	0	0	0	0	0	0	0	0	0	31	2.33333	32	3
