**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
20	1	1	2	(1)a	0	0.5	33	0	0	0	0	0	1	0	0	0	0	-1	33	0.5
20	2	1	2	(1)b	0	0.5	31	0	0	0	0	0	0	0	0	0	0	-1	31	1
21	1	1	2	(1)a	0.5	0.5	33	0	0	0	0	0	1	0	0	0	33	0	33	1
22	1	1	2	(1)a	1	0.5	33	0	0	0	0	0	1	0	0	0	33	0.5	33	1.5
22	2	1	2	(1)b	1	0.5	31	0	0	0	0	0	0	0	0	0	31	0	31	2
23	1	1	2	(1)a	1.5	0.5	33	0	0	0	0	0	1	0	0	0	33	1	33	2
25	1	1	2	(1)a	2	0.5	33	0	0	0	0	0	1	0	0	0	33	1.5	33	2.5
25	2	1	2	(1)b	2	0.5	31	0	0	0	0	0	0	0	0	0	31	1	31	3
26	1	1	2	(1)a	2.5	0.5	33	0	0	0	0	0	1	0	0	0	33	2	33	3
27	1	1	2	(1)a	3	0.5	33	0	0	0	0	0	1	0	0	0	33	2.5	33	3.5
27	2	1	2	(1)b	3	0.5	31	0	0	0	0	0	0	0	0	0	31	2	31	4
28	1	1	2	(1)a	3.5	0.5	33	0	0	0	0	0	1	0	0	0	33	3	33	4
30	1	1	2	(1)a	4	0.5	33	0	0	0	0	0	1	0	0	0	33	3.5	33	4.5
30	2	1	2	(1)b	4	0.5	31	0	0	0	0	0	0	0	0	0	31	3	31	5
31	1	1	2	(1)a	4.5	0.5	33	0	0	0	0	0	1	0	0	0	33	4	33	5
32	1	1	2	(1)a	5	0.5	33	0	0	0	0	0	1	0	0	0	33	4.5	33	5.5
32	2	1	2	(1)b	5	0.5	31	0	0	0	0	0	0	0	0	0	31	4	31	6
33	1	1	2	(1)a	5.5	0.5	33	0	0	0	0	0	1	0	0	0	33	5	33	6
35	1	1	2	(1)a	6	0.5	33	0	0	0	0	0	1	0	0	0	33	5.5	33	6.5
35	2	1	2	(1)b	6	0.5	31	0	0	0	0	0	0	0	0	0	31	5	31	7
36	1	1	2	(1)a	6.5	0.5	33	0	0	0	0	0	1	0	0	0	33	6	33	7
37	1	1	2	(1)a	7	0.5	33	0	0	0	0	0	1	0	0	0	33	6.5	33	7.5
37	2	1	2	(1)b	7	0.5	31	0	0	0	0	0	0	0	0	0	31	6	33	8
38	1	1	2	(1)a	7.5	0.5	33	0	0	0	0	0	1	0	0	0	33	7	33	8
43	1	1	2	(1)a	8	0.5	33	0	0	0	0	0	1	0	0	0	33	7.5	33	8.5
43	2	1	2	(1)b	8	0.5	31	0	0	0	0	0	0	0	0	0	33	7.5	31	9
43	3	2	1	2	8	0.25	93	0	0	0	0	0	0	0	1	0	0	-1	96	8.25
44	3	2	1	2	8.25	0.5	96	0	0	0	0	0	0	0	0	1	93	8	93	8.75
45	1	1	2	(1)a	8.5	0.5	33	0	0	0	0	0	1	0	0	0	33	8	33	9
46	3	2	1	2	8.75	0.25	93	0	0	0	0	0	0	0	1	0	96	8.25	96	9
47	1	1	2	(1)a	9	0.5	33	0	0	0	0	0	1	0	0	0	33	8.5	33	9.5
47	2	1	2	(1)b	9	0.5	31	0	0	0	0	0	0	0	0	0	31	8	31	10
47	3	2	1	2	9	0.5	96	0	0	0	0	0	1	0	0	1	93	8.75	93	9.5
48	1	1	2	(1)a	9.5	0.5	33	0	0	0	0	0	1	0	0	0	33	9	33	10
48	3	2	1	2	9.5	0.5	93	0	0	0	0	0	1	0	0	0	96	9	93	10
50	1	1	2	(1)a	10	0.5	33	0	0	0	0	0	1	0	0	0	33	9.5	33	10.5
50	2	1	2	(1)b	10	0.5	31	0	0	0	0	0	0	0	0	0	31	9	31	11
50	3	2	1	2	10	0.25	93	0	0	0	0	0	0	0	1	0	93	9.5	96	10.25
51	3	2	1	2	10.25	0.5	96	0	0	0	0	0	0	0	0	1	93	10	89	10.75
52	1	1	2	(1)a	10.5	0.5	33	0	0	0	0	0	1	0	0	0	33	10	33	11
53	3	2	1	2	10.75	0.25	89	0	0	0	0	0	0	0	1	0	96	10.25	93	11
54	1	1	2	(1)a	11	0.5	33	0	0	0	0	0	1	0	0	0	33	10.5	33	11.5
54	2	1	2	(1)b	11	0.5	31	0	0	0	0	0	0	0	0	0	31	10	31	12
54	3	2	1	2	11	0.5	93	0	0	0	0	0	1	0	0	1	89	10.75	89	11.5
55	1	1	2	(1)a	11.5	0.5	33	0	0	0	0	0	1	0	0	0	33	11	33	12
55	3	2	1	2	11.5	0.5	89	0	0	0	0	0	1	0	0	0	93	11	86	12
57	1	1	2	(1)a	12	0.5	33	0	0	0	0	0	1	0	0	0	33	11.5	33	12.5
57	2	1	2	(1)b	12	0.5	31	0	0	0	0	0	0	0	0	0	31	11	31	13
57	3	2	1	2	12	0.25	86	0	0	0	0	0	0	0	1	0	89	11.5	89	12.25
58	3	2	1	2	12.25	0.5	89	0	0	0	0	0	0	0	0	1	86	12	86	12.75
