**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	1	1	2	1	0	1	64	1	0	0	0	0	0	0	0	0	0	-1	57	1
18	1	1	2	1	0	1	73	1	0	0	0	0	0	0	0	0	0	-1	57	1
18	2	2	1	2	0	2	76	0	0	0	0	1	0	0	0	0	0	-1	76	2
19	1	1	2	1	1	1	57	0	0	0	0	0	0	0	1	0	64	0	64	2
20	1	1	2	1	2	1	64	1	0	0	0	0	0	0	0	0	57	1	57	3
20	1	1	2	1	2	1	73	1	0	0	0	0	0	0	0	0	57	1	57	3
20	2	2	1	2	2	1	76	0	0	0	0	1	0	0	0	0	76	0	79	3
22	1	1	2	1	3	1	57	0	0	0	0	0	0	0	0	0	64	2	62	4
22	2	2	1	2	3	0.333333	79	0	0	0	0	0	0	0	1	0	76	2	77	3.33333
23	2	2	1	2	3.33333	0.333333	77	0	0	0	0	0	0	0	0	0	79	3	76	3.66667
24	2	2	1	2	3.66667	0.333333	76	0	0	0	0	0	0	0	0	0	77	3.33333	74	4
25	1	1	2	1	4	1	62	1	0	0	0	0	0	0	0	0	57	3	57	5
25	1	1	2	1	4	1	71	1	0	0	0	0	0	0	0	0	57	3	57	5
25	2	2	1	2	4	0.75	74	0	0	0	0	0	0	0	0	0	76	3.66667	73	4.75
26	2	2	1	2	4.75	0.25	73	0	0	0	0	0	0	0	0	0	74	4	74	5
27	1	1	2	1	5	1	57	0	0	0	0	0	0	0	0	0	62	4	62	6
27	2	2	1	2	5	0.75	74	0	0	0	0	0	0	0	0	0	73	4.75	76	5.75
28	2	2	1	2	5.75	0.25	76	0	0	0	0	0	0	0	0	0	74	5	77	6
30	1	1	2	1	6	1	62	1	0	0	0	0	0	0	0	0	57	5	57	7
30	1	1	2	1	6	1	70	1	0	0	0	0	0	0	0	0	57	5	57	7
30	2	2	1	2	6	0.333333	77	0	0	0	0	0	0	0	0	0	76	5.75	76	6.33333
31	2	2	1	2	6.33333	0.333333	76	0	0	0	0	0	0	0	0	0	77	6	74	6.66667
32	2	2	1	2	6.66667	0.333333	74	0	0	0	0	0	0	0	0	0	76	6.33333	73	7
33	1	1	2	1	7	1	57	0	0	0	0	0	0	0	0	0	62	6	62	8
33	2	2	1	2	7	0.75	73	0	0	0	0	0	0	0	0	0	74	6.66667	69	7.75
34	2	2	1	2	7.75	0.25	69	0	0	0	0	0	0	0	0	0	73	7	70	8
35	1	1	2	1	8	1	62	1	0	0	0	0	0	0	0	0	57	7	57	9
35	1	1	2	1	8	1	65	1	0	0	0	0	0	0	0	0	57	7	57	9
35	2	2	1	2	8	0.75	70	0	0	0	0	0	0	0	0	0	69	7.75	74	8.75
36	2	2	1	2	8.75	0.25	74	0	0	0	0	0	0	0	0	1	70	8	73	9
38	1	1	2	1	9	1	57	0	0	0	0	0	0	0	0	0	62	8	61	10
38	2	2	1	2	9	0.25	73	0	0	0	0	0	0	0	1	0	74	8.75	69	9.25
39	2	2	1	2	9.25	0.25	69	0	0	0	0	0	0	0	0	1	73	9	70	9.5
40	2	2	1	2	9.5	0.25	70	0	0	0	0	0	0	0	1	0	69	9.25	74	9.75
41	2	2	1	2	9.75	0.25	74	0	0	0	0	0	0	0	0	1	70	9.5	69	10
42	1	1	2	1	10	1	61	1	0	0	0	0	0	0	0	0	57	9	57	11
42	1	1	2	1	10	1	64	1	0	0	0	0	0	0	0	0	57	9	57	11
42	2	2	1	2	10	2	69	0	0	0	0	0	0	0	0	0	74	9.75	76	12
43	1	1	2	1	11	1	57	0	0	0	0	0	0	0	0	1	61	10	67	12
45	1	1	2	1	12	1	67	1	0	0	0	0	0	0	1	0	57	11	57	13
45	1	1	2	1	12	1	72	1	0	0	0	0	0	0	1	0	57	11	57	13
45	2	2	1	2	12	2	76	0	0	0	0	1	0	0	0	0	69	10	76	14
46	1	1	2	1	13	1	57	0	0	0	0	0	0	0	0	0	67	12	66	14
47	1	1	2	1	14	1	66	1	0	0	0	0	0	0	0	0	57	13	57	15
47	1	1	2	1	14	1	72	1	0	0	0	0	0	0	0	0	57	13	57	15
47	2	2	1	2	14	1	76	0	0	0	0	1	0	0	0	0	76	12	79	15
49	1	1	2	1	15	1	57	0	0	0	0	0	0	0	0	0	66	14	65	16
49	2	2	1	2	15	0.333333	79	0	0	0	0	0	0	0	1	0	76	14	77	15.3333
50	2	2	1	2	15.3333	0.333333	77	0	0	0	0	0	0	0	0	0	79	15	76	15.6667
51	2	2	1	2	15.6667	0.333333	76	0	0	0	0	0	0	0	0	0	77	15.3333	74	16
52	1	1	2	1	16	1	65	1	0	0	0	0	0	0	0	0	57	15	57	17
52	1	1	2	1	16	1	70	1	0	0	0	0	0	0	0	0	57	15	57	17
52	2	2	1	2	16	0.75	74	0	0	0	0	0	0	0	0	0	76	15.6667	73	16.75
53	2	2	1	2	16.75	0.25	73	0	0	0	0	0	0	0	0	0	74	16	74	17
54	1	1	2	1	17	1	57	0	0	0	0	0	0	0	0	0	65	16	64	18
54	2	2	1	2	17	0.75	74	0	0	0	0	0	0	0	0	0	73	16.75	76	17.75
55	2	2	1	2	17.75	0.25	76	0	0	0	0	0	0	0	0	0	74	17	77	18
57	1	1	2	1	18	1	64	1	0	0	0	0	0	0	0	0	57	17	57	19
57	1	1	2	1	18	1	69	1	0	0	0	0	0	0	0	0	57	17	57	19
57	2	2	1	2	18	0.333333	77	0	0	0	0	0	0	0	0	0	76	17.75	76	18.3333
58	2	2	1	2	18.3333	0.333333	76	0	0	0	0	0	0	0	0	0	77	18	74	18.6667
59	2	2	1	2	18.6667	0.333333	74	0	0	0	0	0	0	0	0	0	76	18.3333	73	19
60	1	1	2	1	19	1	57	0	0	0	0	0	0	0	0	0	64	18	62	20
60	2	2	1	2	19	0.75	73	0	0	0	0	0	0	0	0	0	74	18.6667	69	19.75
61	2	2	1	2	19.75	0.25	69	0	0	0	0	0	0	0	0	0	73	19	70	20
62	1	1	2	1	20	1	62	1	0	0	0	0	0	0	0	0	57	19	57	21
62	1	1	2	1	20	1	67	1	0	0	0	0	0	0	0	0	57	19	57	21
62	2	2	1	2	20	0.75	70	0	0	0	0	0	0	0	0	0	69	19.75	74	20.75
63	2	2	1	2	20.75	0.25	74	0	0	0	0	0	0	0	0	1	70	20	73	21
65	1	1	2	1	21	1	57	0	0	0	0	0	0	0	0	0	62	20	60	22
65	2	2	1	2	21	0.25	73	0	0	0	0	0	0	0	1	0	74	20.75	69	21.25
66	2	2	1	2	21.25	0.25	69	0	0	0	0	0	0	0	0	1	73	21	70	21.5
67	2	2	1	2	21.5	0.25	70	0	0	0	0	0	0	0	1	0	69	21.25	74	21.75
