**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	5	5	1	5	0	0.5	71	1	0	0	0	0	0	0	0	0	0	-1	67	1.5
18	5	5	1	5	0	0.5	80	1	0	0	0	0	0	0	0	0	0	-1	67	1.5
18	5	5	1	5	0	0.5	86	1	0	0	0	0	0	0	0	0	0	-1	67	1.5
21	2	2	3	2	1	0.25	78	0	0	0	0	0	1	0	0	0	0	-1	62	1.25
21	3	3	2	3	1	0.5	96	0	0	0	0	0	1	0	0	0	0	-1	109	1.5
22	2	2	3	2	1.25	0.25	62	0	0	0	0	0	1	0	0	0	78	1	62	1.5
24	1	1	4	1	1.5	0.5	67	0	0	0	0	0	0	0	0	0	0	-1	67	2
24	2	2	3	2	1.5	0.25	62	0	0	0	0	0	0	0	1	0	62	1.25	78	1.75
24	3	3	2	3	1.5	0.5	109	0	0	0	0	0	1	0	0	0	96	1	96	2
24	5	5	1	5	1.5	0.5	67	0	0	0	0	0	1	0	0	0	71	0	67	2
25	2	2	3	2	1.75	0.25	78	0	0	0	0	0	0	0	0	1	62	1.5	77	2
26	1	1	4	1	2	0.5	67	0	0	0	0	0	0	0	0	0	67	1.5	67	2.5
26	2	2	3	2	2	0.25	77	0	0	0	0	0	0	0	1	0	78	1.75	93	2.25
26	3	3	2	3	2	0.5	96	0	0	0	0	0	1	0	0	0	109	1.5	109	2.5
26	5	5	1	5	2	0.5	67	0	0	0	0	0	1	0	0	0	67	1.5	67	2.5
27	2	2	3	2	2.25	0.25	93	0	0	0	0	0	0	0	0	1	77	2	77	2.5
28	1	1	4	1	2.5	0.5	67	0	0	0	0	0	0	0	0	0	67	2	70	3
28	2	2	3	2	2.5	0.25	77	0	0	0	0	0	1	0	0	0	93	2.25	93	2.75
28	3	3	2	3	2.5	0.5	109	0	0	0	0	0	1	0	0	0	96	2	99	3
28	5	5	1	5	2.5	0.5	67	0	0	0	0	0	1	0	0	0	67	2	70	3
29	2	2	3	2	2.75	0.25	93	0	0	0	0	0	1	0	0	0	77	2.5	80	3.5
30	1	1	4	1	3	0.5	70	0	0	0	0	0	0	0	0	0	67	2.5	70	3.5
30	3	3	2	3	3	0.5	99	0	0	0	0	0	0	0	0	0	109	2.5	112	3.5
30	5	5	1	5	3	0.5	70	0	0	0	0	0	1	0	0	0	67	2.5	70	3.5
31	1	1	4	1	3.5	0.5	70	0	0	0	0	0	0	0	0	0	70	3	70	4
31	2	2	3	2	3.5	0.25	80	0	0	0	0	0	0	0	1	0	93	2.75	65	3.75
31	3	3	2	3	3.5	0.5	112	0	0	0	0	0	0	0	0	0	99	3	99	4
31	5	5	1	5	3.5	0.5	70	0	0	0	0	0	1	0	0	0	70	3	70	4
32	2	2	3	2	3.75	0.25	65	0	0	0	0	0	0	0	0	1	80	3.5	65	4
34	1	1	4	1	4	0.5	70	0	0	0	0	0	0	0	0	0	70	3.5	70	6
34	2	2	3	2	4	0.25	65	0	0	0	0	0	1	0	0	0	65	3.75	80	4.25
34	3	3	2	3	4	0.5	99	0	0	0	0	0	0	0	0	0	112	3.5	112	4.5
34	5	5	1	5	4	0.5	70	0	0	0	0	0	1	0	0	0	70	3.5	70	6
35	2	2	3	2	4.25	0.25	80	0	0	0	0	0	1	0	0	0	65	4	80	4.5
36	2	2	3	2	4.5	0.25	80	0	0	0	0	0	0	0	1	0	80	4.25	95	4.75
36	3	3	2	3	4.5	0.5	112	0	0	0	0	0	0	0	0	0	99	4	99	5
37	2	2	3	2	4.75	0.25	95	0	0	0	0	0	0	0	0	1	80	4.5	80	5
38	2	2	3	2	5	0.25	80	0	0	0	0	0	1	0	0	0	95	4.75	95	5.25
