**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	2	2	2	2	0	0.125	71	0	0	0	0	0	0	0	1	0	0	-1	74	0.125
18	4	4	1	4	0	1	64	0	0	0	0	0	0	0	1	0	0	-1	69	1
19	2	2	2	2	0.125	0.125	74	0	0	0	0	0	0	0	0	0	71	0	76	0.25
20	2	2	2	2	0.25	0.125	76	0	0	0	0	0	0	0	0	0	74	0.125	81	0.375
21	2	2	2	2	0.375	0.125	81	0	0	0	0	0	0	0	0	0	76	0.25	83	0.5
22	1	1	3	1	0.5	1.5	62	1	0	0	0	1	0	0	0	0	0	-1	59	3.5
22	1	1	3	1	0.5	1.5	64	1	0	0	0	0	0	0	0	0	0	-1	59	3.5
22	2	2	2	2	0.5	0.125	83	0	0	0	0	0	0	0	0	0	81	0.375	81	0.625
23	2	2	2	2	0.625	0.125	81	0	0	0	0	0	0	0	0	0	83	0.5	76	0.75
24	2	2	2	2	0.75	0.125	76	0	0	0	0	0	0	0	0	0	81	0.625	74	0.875
25	2	2	2	2	0.875	0.125	74	0	0	0	0	0	0	0	0	0	76	0.75	71	1
26	2	2	2	2	1	0.125	71	0	0	0	0	0	0	0	0	0	74	0.875	74	1.125
26	4	4	1	4	1	0.5	69	0	0	0	0	0	0	0	0	0	64	0	69	1.5
27	2	2	2	2	1.125	0.125	74	0	0	0	0	0	0	0	0	0	71	1	76	1.25
28	2	2	2	2	1.25	0.125	76	0	0	0	0	0	0	0	0	0	74	1.125	81	1.375
29	2	2	2	2	1.375	0.125	81	0	0	0	0	0	0	0	0	0	76	1.25	83	1.5
30	2	2	2	2	1.5	0.125	83	0	0	0	0	0	0	0	0	0	81	1.375	81	1.625
30	4	4	1	4	1.5	0.5	69	0	0	0	0	0	0	0	0	0	69	1	67	2
31	2	2	2	2	1.625	0.125	81	0	0	0	0	0	0	0	0	0	83	1.5	76	1.75
32	2	2	2	2	1.75	0.125	76	0	0	0	0	0	0	0	0	0	81	1.625	74	1.875
33	2	2	2	2	1.875	0.125	74	0	0	0	0	0	0	0	0	0	76	1.75	71	2
34	2	2	2	2	2	0.125	71	0	0	0	0	0	0	0	0	0	74	1.875	74	2.125
34	4	4	1	4	2	0.5	67	0	0	0	0	0	0	0	0	0	69	1.5	67	2.5
35	2	2	2	2	2.125	0.125	74	0	0	0	0	0	0	0	0	0	71	2	76	2.25
36	2	2	2	2	2.25	0.125	76	0	0	0	0	0	0	0	0	0	74	2.125	81	2.375
37	2	2	2	2	2.375	0.125	81	0	0	0	0	0	0	0	0	0	76	2.25	83	2.5
38	2	2	2	2	2.5	0.125	83	0	0	0	0	0	0	0	0	0	81	2.375	81	2.625
38	4	4	1	4	2.5	0.5	67	0	0	0	0	0	0	0	0	0	67	2	62	3
39	2	2	2	2	2.625	0.125	81	0	0	0	0	0	0	0	0	0	83	2.5	76	2.75
40	2	2	2	2	2.75	0.125	76	0	0	0	0	0	0	0	0	0	81	2.625	74	2.875
41	2	2	2	2	2.875	0.125	74	0	0	0	0	0	0	0	0	0	76	2.75	71	3
42	2	2	2	2	3	0.125	71	0	0	0	0	0	0	0	0	0	74	2.875	74	3.125
42	4	4	1	4	3	1	62	0	0	0	0	0	0	0	0	0	67	2.5	64	4
43	2	2	2	2	3.125	0.125	74	0	0	0	0	0	0	0	0	0	71	3	76	3.25
44	2	2	2	2	3.25	0.125	76	0	0	0	0	0	0	0	0	0	74	3.125	81	3.375
45	2	2	2	2	3.375	0.125	81	0	0	0	0	0	0	0	0	0	76	3.25	83	3.5
46	1	1	3	1	3.5	1.5	59	1	0	0	0	1	0	0	0	0	62	0.5	62	6.5
46	1	1	3	1	3.5	1.5	62	1	0	0	0	0	0	0	0	0	62	0.5	62	6.5
46	2	2	2	2	3.5	0.125	83	0	0	0	0	0	0	0	0	0	81	3.375	81	3.625
47	2	2	2	2	3.625	0.125	81	0	0	0	0	0	0	0	0	0	83	3.5	76	3.75
48	2	2	2	2	3.75	0.125	76	0	0	0	0	0	0	0	0	0	81	3.625	74	3.875
49	2	2	2	2	3.875	0.125	74	0	0	0	0	0	0	0	0	0	76	3.75	71	4
51	2	2	2	2	4	0.125	71	0	0	0	0	0	0	0	0	0	74	3.875	74	4.125
51	4	4	1	4	4	0.5	64	0	0	0	0	0	0	0	0	0	62	3	64	4.5
52	2	2	2	2	4.125	0.125	74	0	0	0	0	0	0	0	0	0	71	4	76	4.25
53	2	2	2	2	4.25	0.125	76	0	0	0	0	0	0	0	0	0	74	4.125	81	4.375
54	2	2	2	2	4.375	0.125	81	0	0	0	0	0	0	0	0	0	76	4.25	83	4.5
55	2	2	2	2	4.5	0.125	83	0	0	0	0	0	0	0	0	0	81	4.375	81	4.625
55	4	4	1	4	4.5	0.5	64	0	0	0	0	0	0	0	0	0	64	4	67	5
56	2	2	2	2	4.625	0.125	81	0	0	0	0	0	0	0	0	0	83	4.5	76	4.75
57	2	2	2	2	4.75	0.125	76	0	0	0	0	0	0	0	0	0	81	4.625	74	4.875
58	2	2	2	2	4.875	0.125	74	0	0	0	0	0	0	0	0	0	76	4.75	71	5
59	2	2	2	2	5	0.125	71	0	0	0	0	0	0	0	0	0	74	4.875	74	5.125
59	4	4	1	4	5	1	67	0	0	0	0	0	0	0	0	0	64	4.5	69	6
60	2	2	2	2	5.125	0.125	74	0	0	0	0	0	0	0	0	0	71	5	76	5.25
61	2	2	2	2	5.25	0.125	76	0	0	0	0	0	0	0	0	0	74	5.125	81	5.375
62	2	2	2	2	5.375	0.125	81	0	0	0	0	0	0	0	0	0	76	5.25	83	5.5
63	2	2	2	2	5.5	0.125	83	0	0	0	0	0	0	0	0	0	81	5.375	81	5.625
64	2	2	2	2	5.625	0.125	81	0	0	0	0	0	0	0	0	0	83	5.5	76	5.75
65	2	2	2	2	5.75	0.125	76	0	0	0	0	0	0	0	0	0	81	5.625	74	5.875
66	2	2	2	2	5.875	0.125	74	0	0	0	0	0	0	0	0	0	76	5.75	71	6
67	2	2	2	2	6	0.125	71	0	0	0	0	0	0	0	0	0	74	5.875	74	6.125
67	4	4	1	4	6	0.5	69	0	0	0	0	0	0	0	0	0	67	5	69	6.5
68	2	2	2	2	6.125	0.125	74	0	0	0	0	0	0	0	0	0	71	6	76	6.25
69	2	2	2	2	6.25	0.125	76	0	0	0	0	0	0	0	0	0	74	6.125	81	6.375
70	2	2	2	2	6.375	0.125	81	0	0	0	0	0	0	0	0	0	76	6.25	83	6.5
71	1	1	3	1	6.5	1.5	62	0	0	0	0	1	0	0	0	0	59	3.5	0	0
71	2	2	2	2	6.5	0.125	83	0	0	0	0	0	0	0	0	0	81	6.375	81	6.625
71	4	4	1	4	6.5	0.5	69	0	0	0	0	0	0	0	0	0	69	6	73	7
72	2	2	2	2	6.625	0.125	81	0	0	0	0	0	0	0	0	0	83	6.5	76	6.75
73	2	2	2	2	6.75	0.125	76	0	0	0	0	0	0	0	0	0	81	6.625	74	6.875
74	2	2	2	2	6.875	0.125	74	0	0	0	0	0	0	0	0	0	76	6.75	71	7
75	2	2	2	2	7	0.125	71	0	0	0	0	0	0	0	0	0	74	6.875	74	7.125
75	4	4	1	4	7	1	73	0	0	0	0	0	0	0	0	1	69	6.5	0	0
76	2	2	2	2	7.125	0.125	74	0	0	0	0	0	0	0	0	0	71	7	76	7.25
77	2	2	2	2	7.25	0.125	76	0	0	0	0	0	0	0	0	0	74	7.125	81	7.375
78	2	2	2	2	7.375	0.125	81	0	0	0	0	0	0	0	0	0	76	7.25	83	7.5
79	2	2	2	2	7.5	0.125	83	0	0	0	0	0	0	0	0	0	81	7.375	81	7.625
80	2	2	2	2	7.625	0.125	81	0	0	0	0	0	0	0	0	0	83	7.5	76	7.75
81	2	2	2	2	7.75	0.125	76	0	0	0	0	0	0	0	0	0	81	7.625	74	7.875
82	2	2	2	2	7.875	0.125	74	0	0	0	0	0	0	0	0	1	76	7.75	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
