**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
17	1	1	1	1	0.5	0.25	86	0	0	0	0	0	1	0	1	0	0	-1	86	0.75
18	1	1	1	1	0.75	0.25	86	0	0	0	0	0	1	0	0	0	86	0.5	86	1
19	1	1	1	1	1	0.5	86	0	0	0	0	0	1	0	0	0	86	0.75	86	1.5
21	1	1	1	1	1.5	0.5	86	0	0	0	0	0	1	0	0	0	86	1	88	2
22	1	1	1	1	2	0.75	88	0	0	0	0	1	0	0	0	0	86	1.5	86	2.75
23	1	1	1	1	2.75	0.25	86	0	0	0	0	0	0	0	0	0	88	2	85	3
25	1	1	1	1	3	0.5	85	0	0	0	0	0	0	0	0	1	86	2.75	81	3.5
26	1	1	1	1	3.5	0.25	81	0	0	0	0	0	0	0	0	0	85	3	83	3.75
27	1	1	1	1	3.75	0.25	83	0	0	0	0	0	0	0	0	0	81	3.5	85	4
28	1	1	1	1	4	0.75	85	0	0	0	0	0	0	0	0	0	83	3.75	81	4.75
31	1	1	1	1	4.75	0.25	81	0	0	0	0	0	0	0	1	0	85	4	83	5
32	1	1	1	1	5	0.75	83	0	0	0	0	0	0	0	0	0	81	4.75	81	5.75
33	1	1	1	1	5.75	0.25	81	0	0	0	0	0	0	0	0	0	83	5	79	6
35	1	1	1	1	6	0.5	79	0	0	0	0	0	0	0	0	0	81	5.75	81	6.5
36	1	1	1	1	6.5	0.25	81	0	0	0	0	0	0	0	0	0	79	6	83	6.75
37	1	1	1	1	6.75	0.25	83	0	0	0	0	0	0	0	0	0	81	6.5	81	7
38	1	1	1	1	7	0.75	81	0	0	0	0	0	0	0	0	0	83	6.75	78	7.75
41	1	1	1	1	7.75	0.25	78	0	0	0	0	0	0	0	0	0	81	7	79	8
42	1	1	1	1	8	0.75	79	0	0	0	0	0	0	0	0	0	78	7.75	78	8.75
43	1	1	1	1	8.75	0.25	78	0	0	0	0	0	0	0	0	0	79	8	76	9
45	1	1	1	1	9	0.5	76	0	0	0	0	0	0	0	0	0	78	8.75	78	9.5
46	1	1	1	1	9.5	0.25	78	0	0	0	0	0	0	0	0	0	76	9	76	9.75
47	1	1	1	1	9.75	0.25	76	0	0	0	0	0	0	0	0	0	78	9.5	74	10
48	1	1	1	1	10	0.5	74	0	0	0	0	0	0	0	0	1	76	9.75	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
