**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	7	7	3	7	0	0.25	56	0	0	0	0	0	0	0	0	0	0	-1	58	0.25
18	9	9	2	9	0	0.5	69	0	0	0	0	0	0	0	0	0	0	-1	75	0.5
19	7	7	3	7	0.25	0.5	58	0	1	0	0	0	0	0	0	0	56	0	71	0.75
20	9	9	2	9	0.5	0.5	75	0	0	0	0	0	0	0	0	0	69	0	76	1
21	7	7	3	7	0.75	2.75	71	0	1	0	0	0	0	0	0	0	58	0.25	60	3.5
22	9	9	2	9	1	0.333333	76	0	0	0	0	0	0	0	0	0	75	0.5	65	1.33333
23	9	9	2	9	1.33333	0.333333	65	0	0	0	0	0	0	0	1	0	76	1	75	1.66667
24	9	9	2	9	1.66667	0.333333	75	0	0	0	0	0	0	0	0	1	65	1.33333	75	2
25	9	9	2	9	2	1	75	0	0	0	0	0	0	0	0	0	75	1.66667	66	3
26	9	9	2	9	3	0.5	66	0	0	0	0	0	0	0	0	0	75	2	73	3.5
27	7	7	3	7	3.5	0.5	60	0	1	0	0	0	0	0	0	0	71	0.75	67	4
27	9	9	2	9	3.5	0.5	73	0	0	0	0	0	0	0	0	0	66	3	75	4
30	7	7	3	7	4	0.25	67	0	0	0	0	0	1	0	0	0	60	3.5	67	4.25
30	9	9	2	9	4	0.5	75	0	0	0	0	0	0	0	0	0	73	3.5	76	4.5
31	7	7	3	7	4.25	0.75	67	0	1	0	0	0	0	0	0	0	67	4	60	5
32	9	9	2	9	4.5	0.25	76	0	0	0	0	0	0	0	0	0	75	4	65	4.75
33	9	9	2	9	4.75	0.25	65	0	0	0	0	0	0	0	0	0	76	4.5	68	5
34	7	7	3	7	5	0.333333	60	0	1	0	0	0	0	0	0	0	67	4.25	71	5.33333
34	9	9	2	9	5	4.66667	68	0	0	0	0	0	0	0	0	0	65	4.75	70	9.66667
35	7	7	3	7	5.33333	0.333333	71	0	0	0	0	0	0	0	0	0	60	5	71	5.66667
36	7	7	3	7	5.66667	0	71	0	0	0	0	0	0	0	1	0	71	5.33333	67	5.66667
37	7	7	3	7	5.66667	0.333333	67	0	1	0	0	0	0	0	0	1	71	5.66667	66	6
38	7	7	3	7	6	0.5	66	0	1	0	0	0	0	0	0	0	67	5.66667	69	6.5
39	7	7	3	7	6.5	0.5	69	0	1	0	0	0	0	0	0	0	66	6	71	7
42	7	7	3	7	7	3.5	71	0	0	0	0	0	0	0	0	0	69	6.5	61	10.5
43	10	10	1	10	8	0.166667	72	0	0	0	0	0	1	0	0	0	0	-1	73	8.16667
44	10	10	1	10	8.16667	0.166667	73	0	0	0	0	0	1	0	0	0	72	8	72	8.33333
45	10	10	1	10	8.33333	0.166667	72	0	0	0	0	0	1	0	0	0	73	8.16667	72	8.5
46	10	10	1	10	8.5	0.5	72	0	1	0	0	0	0	0	0	0	72	8.33333	72	9
47	10	10	1	10	9	0.166667	72	0	0	0	0	0	1	0	0	0	72	8.5	73	9.16667
48	10	10	1	10	9.16667	0.166667	73	0	0	0	0	0	1	0	0	0	72	9	72	9.33333
49	10	10	1	10	9.33333	0.166667	72	0	0	0	0	0	1	0	0	0	73	9.16667	72	9.5
50	10	10	1	10	9.5	0.5	72	0	1	0	0	0	0	0	0	0	72	9.33333	72	10.25
51	9	9	2	9	9.66667	0.666667	70	0	0	0	0	0	0	0	0	0	68	5	74	10.3333
53	10	10	1	10	10.25	0.75	72	0	1	0	0	0	0	0	0	0	72	9.5	0	0
54	9	9	2	9	10.3333	0.666667	74	0	0	0	0	0	0	0	0	0	70	9.66667	74	11
55	7	7	3	7	10.5	1	61	0	1	0	0	0	0	0	0	0	71	7	63	11.5
