**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
19	1	1	3	(1)a	0	0.75	55	0	0	0	0	0	0	0	1	0	0	-1	59	0.75
19	2	1	3	(1)b	0	0.166667	40	0	0	0	0	0	0	0	1	0	0	-1	52	0.166667
20	2	1	3	(1)b	0.166667	0.166667	52	0	0	0	0	0	0	0	0	0	40	0	52	0.333333
20	5	4	1	4	0.166667	0.166667	47	0	0	0	0	0	1	0	1	0	0	-1	47	0.333333
21	2	1	3	(1)b	0.333333	0.166667	52	1	0	0	0	0	0	0	0	1	52	0.166667	40	1
21	2	1	3	(1)b	0.333333	0.166667	56	1	0	0	0	0	0	0	0	1	52	0.166667	40	1
21	5	4	1	4	0.333333	0.166667	47	1	0	0	0	0	1	0	0	0	47	0.166667	47	0.5
21	5	4	1	4	0.333333	0.166667	52	1	0	0	0	0	0	0	0	0	47	0.166667	47	0.5
22	5	4	1	4	0.5	0.166667	47	1	0	0	0	0	1	0	0	0	47	0.333333	47	0.666667
22	5	4	1	4	0.5	0.166667	52	1	0	0	0	0	0	0	0	0	47	0.333333	47	0.666667
23	5	4	1	4	0.666667	0.166667	47	1	0	0	0	0	1	0	0	1	47	0.5	67	0.833333
23	5	4	1	4	0.666667	0.166667	52	1	0	0	0	0	0	0	0	1	47	0.5	67	0.833333
24	1	1	3	(1)a	0.75	0.25	59	0	0	0	0	0	0	0	0	1	55	0	40	1
25	5	4	1	4	0.833333	0.166667	67	0	0	0	0	0	0	0	0	0	47	0.666667	69	1
28	1	1	3	1	1	0.166667	40	0	0	0	0	0	0	0	1	0	59	0.75	52	1.16667
28	2	2	2	2	1	0.0625	78	0	0	0	0	0	0	0	0	0	0	-1	76	1.0625
28	4	4	1	4	1	0.25	69	0	0	0	0	0	0	0	1	0	67	0.833333	67	1.25
29	2	2	2	2	1.0625	0.0625	76	0	0	0	0	0	0	0	0	0	78	1	71	1.125
30	2	2	2	2	1.125	0.0625	71	0	0	0	0	0	0	0	0	0	76	1.0625	67	1.1875
31	1	1	3	1	1.16667	0.166667	52	0	0	0	0	0	1	0	0	0	40	1	52	1.33333
32	2	2	2	2	1.1875	0.0625	67	0	0	0	0	0	0	0	0	0	71	1.125	73	1.25
33	2	2	2	2	1.25	0.0625	73	0	0	0	0	0	0	0	0	0	67	1.1875	71	1.3125
33	4	4	1	4	1.25	0.25	67	0	0	0	0	0	0	0	0	0	69	1	66	1.5
34	2	2	2	2	1.3125	0.0625	71	0	0	0	0	0	0	0	0	0	73	1.25	67	1.375
35	1	1	3	1	1.33333	0.166667	52	1	0	0	0	0	1	0	0	1	52	1.16667	40	1.5
35	1	1	3	1	1.33333	0.166667	55	1	0	0	0	0	0	0	0	1	52	1.16667	40	1.5
36	2	2	2	2	1.375	0.0625	67	0	0	0	0	0	0	0	0	0	71	1.3125	64	1.4375
37	2	2	2	2	1.4375	0.0625	64	0	0	0	0	0	0	0	0	0	67	1.375	78	3
38	1	1	3	1	1.5	0.166667	40	0	0	0	0	0	0	0	1	0	52	1.33333	52	1.66667
38	4	4	1	4	1.5	0.25	66	0	0	0	0	0	0	0	0	0	67	1.25	59	1.75
39	1	1	3	1	1.66667	0.166667	52	0	0	0	0	0	1	0	0	0	40	1.5	52	1.83333
40	4	4	1	4	1.75	0.25	59	0	0	0	0	0	0	0	0	1	66	1.5	64	2
41	1	1	3	1	1.83333	0.166667	52	1	0	0	0	0	1	0	0	1	52	1.66667	40	2
41	1	1	3	1	1.83333	0.166667	55	1	0	0	0	0	0	0	0	1	52	1.66667	40	2
43	1	1	3	1	2	0.166667	40	0	0	0	0	0	0	0	1	0	52	1.83333	52	2.16667
43	4	4	1	4	2	0.75	64	0	0	0	0	0	0	0	1	0	59	1.75	67	2.75
44	1	1	3	1	2.16667	0.166667	52	0	0	0	0	0	1	0	0	0	40	2	52	2.33333
45	1	1	3	1	2.33333	0.166667	52	1	0	0	0	0	1	0	0	1	52	2.16667	40	2.5
45	1	1	3	1	2.33333	0.166667	55	1	0	0	0	0	0	0	0	1	52	2.16667	40	2.5
46	1	1	3	1	2.5	0.166667	40	0	0	0	0	0	0	0	1	0	52	2.33333	52	2.66667
47	1	1	3	1	2.66667	0.166667	52	0	0	0	0	0	1	0	0	0	40	2.5	52	2.83333
48	4	4	1	4	2.75	0.25	67	0	0	0	0	0	0	0	0	1	64	2	69	3
49	1	1	3	1	2.83333	0.166667	52	1	0	0	0	0	1	0	0	1	52	2.66667	40	3
49	1	1	3	1	2.83333	0.166667	55	1	0	0	0	0	0	0	0	1	52	2.66667	40	3
51	1	1	3	1	3	0.166667	40	0	0	0	0	0	0	0	1	0	52	2.83333	52	3.16667
51	2	2	2	2	3	0.0625	78	0	0	0	0	0	0	0	0	0	64	1.4375	76	3.0625
51	4	4	1	4	3	0.25	69	0	0	0	0	0	0	0	1	0	67	2.75	67	3.25
52	2	2	2	2	3.0625	0.0625	76	0	0	0	0	0	0	0	0	0	78	3	71	3.125
53	2	2	2	2	3.125	0.0625	71	0	0	0	0	0	0	0	0	0	76	3.0625	67	3.1875
54	1	1	3	1	3.16667	0.166667	52	0	0	0	0	0	1	0	0	0	40	3	52	3.33333
55	2	2	2	2	3.1875	0.0625	67	0	0	0	0	0	0	0	0	0	71	3.125	73	3.25
56	2	2	2	2	3.25	0.0625	73	0	0	0	0	0	0	0	0	0	67	3.1875	71	3.3125
56	4	4	1	4	3.25	0.25	67	0	0	0	0	0	0	0	0	0	69	3	66	3.5
57	2	2	2	2	3.3125	0.0625	71	0	0	0	0	0	0	0	0	0	73	3.25	67	3.375
58	1	1	3	1	3.33333	0.166667	52	1	0	0	0	0	1	0	0	1	52	3.16667	40	3.5
58	1	1	3	1	3.33333	0.166667	55	1	0	0	0	0	0	0	0	1	52	3.16667	40	3.5
59	2	2	2	2	3.375	0.0625	67	0	0	0	0	0	0	0	0	0	71	3.3125	64	3.4375
60	2	2	2	2	3.4375	0.0625	64	0	0	0	0	0	0	0	0	0	67	3.375	0	0
61	1	1	3	1	3.5	0.166667	40	0	0	0	0	0	0	0	1	0	52	3.33333	52	3.66667
61	4	4	1	4	3.5	0.25	66	0	0	0	0	0	0	0	0	0	67	3.25	59	3.75
62	1	1	3	1	3.66667	0.166667	52	0	0	0	0	0	1	0	0	0	40	3.5	52	3.83333
63	4	4	1	4	3.75	0.25	59	0	0	0	0	0	0	0	0	1	66	3.5	0	0
64	1	1	3	1	3.83333	0.166667	52	1	0	0	0	0	1	0	0	1	52	3.66667	0	0
64	1	1	3	1	3.83333	0.166667	55	1	0	0	0	0	0	0	0	1	52	3.66667	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
